t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
0,-0.05158,-0.04467,-0.0406,-0.0904
0.01,-0.05161,-0.0462,-0.0482,-0.0304
0.02,-0.05164,-0.04674,-0.0422,-0.0454
0.03,-0.05167,-0.04708,-0.0444,-0.0725
0.04,-0.0517,-0.04757,-0.046,-0.0498
0.05,-0.05173,-0.04806,-0.0432,-0.0885
0.06,-0.05175,-0.04846,-0.0413,-0.0472
0.07,-0.05173,-0.04883,-0.0363,-0.0361
0.08,-0.05167,-0.04941,-0.0349,-0.0467
0.09,-0.05159,-0.04944,-0.032,-0.0489
0.1,-0.05151,-0.04989,-0.025,-0.0362
0.11,-0.05143,-0.05022,-0.0234,-0.037
0.12,-0.05135,-0.0504,-0.0136,-0.0376
0.13,-0.05126,-0.05054,-0.0086,-0.0478
0.14,-0.05111,-0.05065,-0.0038,-0.0362
0.15,-0.05093,-0.05053,-0.002,-0.0321
0.16,-0.05074,-0.05062,0.0013,-0.0317
0.17,-0.05055,-0.05067,0.0023,-0.0157
0.18,-0.05035,-0.05067,-0.0006,-0.0071
0.19,-0.05016,-0.05058,-0.0018,0.0035
0.2,-0.04994,-0.05068,-0.0005,0.009
0.21,-0.04971,-0.05061,0.0005,0.0165
0.22,-0.04945,-0.05058,-0.0011,0.0112
0.23,-0.04918,-0.05059,0.0007,0.0346
0.24,-0.04892,-0.05061,0.0024,0.0361
0.25,-0.04866,-0.05056,0.0002,0.049
0.26,-0.0484,-0.05058,0.0049,0.0444
0.27,-0.04813,-0.05062,0.0053,0.0687
0.28,-0.04784,-0.0506,0.0062,0.0752
0.29,-0.04755,-0.05056,0.0057,0.0751
0.3,-0.04726,-0.05048,0.0099,0.0952
0.31,-0.04697,-0.05035,0.0113,0.0849
0.32,-0.04668,-0.05022,0.0123,0.0913
0.33,-0.04639,-0.04998,0.0164,0.1002
0.34,-0.0461,-0.04993,0.0214,0.1014
0.35,-0.04581,-0.04974,0.0248,0.0825
0.36,-0.04552,-0.04965,0.0275,0.1211
0.37,-0.04522,-0.04936,0.0292,0.0827
0.38,-0.04493,-0.04931,0.0335,0.0907
0.39,-0.04464,-0.04885,0.0389,0.1391
0.4,-0.04434,-0.04849,0.0446,0.0967
0.41,-0.04405,-0.04785,0.0515,0.1221
0.42,-0.04376,-0.04712,0.0519,0.1007
0.43,-0.04347,-0.04633,0.0526,0.0761
0.44,-0.04318,-0.04564,0.056,0.086
0.45,-0.04289,-0.04513,0.0543,0.095
0.46,-0.0426,-0.04462,0.053,0.0568
0.47,-0.04231,-0.04421,0.0541,0.0727
0.48,-0.04203,-0.04368,0.0528,0.0471
0.49,-0.04174,-0.04319,0.0485,0.0643
0.5,-0.04146,-0.04282,0.0513,0.0565
0.51,-0.04117,-0.04249,0.0471,0.0774
0.52,-0.04089,-0.04205,0.0467,0.0544
0.53,-0.0406,-0.0418,0.0441,0.0921
0.54,-0.04032,-0.04147,0.0467,0.0512
0.55,-0.04004,-0.0411,0.0448,0.0572
0.56,-0.03977,-0.04073,0.0452,0.0582
0.57,-0.03949,-0.04039,0.0444,0.0557
0.58,-0.03921,-0.04008,0.0406,0.0727
0.59,-0.03893,-0.03973,0.0383,0.0589
0.6,-0.03865,-0.03948,0.037,0.0423
0.61,-0.03838,-0.03916,0.0411,0.0671
0.62,-0.0381,-0.03886,0.0367,0.0884
0.63,-0.03783,-0.03864,0.0366,0.0665
0.64,-0.03756,-0.03831,0.0368,0.0513
0.65,-0.03729,-0.03815,0.034,0.0517
0.66,-0.03701,-0.03769,0.037,0.0864
0.67,-0.03674,-0.03733,0.0363,0.0552
0.68,-0.03647,-0.03698,0.0342,0.0777
0.69,-0.03621,-0.03664,0.0367,0.0761
0.7,-0.03594,-0.03616,0.0331,0.0533
0.71,-0.03567,-0.0358,0.0314,0.0698
0.72,-0.03541,-0.03553,0.0293,0.0855
0.73,-0.03514,-0.03512,0.0299,0.0601
0.74,-0.03488,-0.03474,0.025,0.0544
0.75,-0.03462,-0.03448,0.0212,0.0497
0.76,-0.03436,-0.03422,0.0219,0.0662
0.77,-0.0341,-0.0341,0.02,0.0644
0.78,-0.03384,-0.03396,0.0185,0.0702
0.79,-0.03358,-0.0336,0.017,0.0776
0.8,-0.03331,-0.03346,0.0155,0.069
0.81,-0.03306,-0.03335,0.0142,0.0891
0.82,-0.03281,-0.03325,0.0145,0.0965
0.83,-0.03256,-0.03304,0.013,0.092
0.84,-0.03231,-0.03302,0.0121,0.0863
0.85,-0.03205,-0.03294,0.0149,0.0808
0.86,-0.0318,-0.03274,0.016,0.0913
0.87,-0.03155,-0.03257,0.0149,0.1011
0.88,-0.03131,-0.03235,0.018,0.1098
0.89,-0.03106,-0.0321,0.0175,0.0916
0.9,-0.03082,-0.03182,0.0227,0.0873
0.91,-0.03057,-0.03167,0.0195,0.0902
0.92,-0.03033,-0.03118,0.0241,0.0935
0.93,-0.03008,-0.03083,0.0273,0.097
0.94,-0.02984,-0.03071,0.0298,0.0693
0.95,-0.0296,-0.03016,0.0327,0.0869
0.96,-0.02936,-0.02976,0.031,0.0933
0.97,-0.02912,-0.02934,0.0323,0.075
0.98,-0.02888,-0.02895,0.0301,0.0702
0.99,-0.02864,-0.02839,0.0303,0.0603
1,-0.02841,-0.02814,0.0322,0.0617
1.01,-0.02817,-0.02674,0.018,0.0681
1.02,-0.02794,-0.02652,0.0194,0.0469
1.03,-0.02771,-0.02634,0.0157,0.0441
1.04,-0.02748,-0.02613,0.0157,0.0475
1.05,-0.02725,-0.026,0.0126,0.063
1.06,-0.02701,-0.02578,0.0151,0.0545
1.07,-0.02678,-0.02575,0.0093,0.0615
1.08,-0.02656,-0.02565,0.0089,0.0724
1.09,-0.02633,-0.02558,0.0075,0.0771
1.1,-0.02611,-0.02553,0.0108,0.0681
1.11,-0.02588,-0.02533,0.0052,0.0812
1.12,-0.02566,-0.02535,0.0035,0.0701
1.13,-0.02544,-0.02525,0.0026,0.0801
1.14,-0.02522,-0.02512,0.0022,0.0821
1.15,-0.025,-0.0251,0.0024,0.0762
1.16,-0.02478,-0.02508,0.0041,0.0921
1.17,-0.02456,-0.02509,0.0032,0.0942
1.18,-0.02435,-0.025,0.0071,0.0956
1.19,-0.02413,-0.02493,0.0077,0.095
1.2,-0.02391,-0.02486,0.0082,0.1044
1.21,-0.0237,-0.02464,0.011,0.0974
1.22,-0.02349,-0.02451,0.0141,0.1159
1.23,-0.02328,-0.02446,0.0155,0.1192
1.24,-0.02308,-0.0241,0.0171,0.1112
1.25,-0.02287,-0.024,0.0166,0.0979
1.26,-0.02266,-0.02377,0.0193,0.0989
1.27,-0.02245,-0.02352,0.0233,0.0862
1.28,-0.02225,-0.02326,0.0246,0.123
1.29,-0.02205,-0.02295,0.0252,0.071
1.3,-0.02185,-0.02262,0.028,0.0891
1.31,-0.02165,-0.02248,0.0277,0.1076
1.32,-0.02145,-0.02209,0.0312,0.0931
1.33,-0.02126,-0.02185,0.0291,0.0748
1.34,-0.02107,-0.02156,0.0298,0.0832
1.35,-0.02088,-0.02135,0.0311,0.095
1.36,-0.0207,-0.02087,0.0294,0.078
1.37,-0.02051,-0.02071,0.0305,0.0917
1.38,-0.02033,-0.02044,0.0296,0.0693
1.39,-0.02015,-0.02016,0.0281,0.0864
1.4,-0.01998,-0.02009,0.0274,0.0743
1.41,-0.01982,-0.01979,0.0245,0.084
1.42,-0.01968,-0.01957,0.0229,0.0676
1.43,-0.01954,-0.01943,0.0206,0.0727
1.44,-0.0194,-0.01927,0.0213,0.0729
1.45,-0.01926,-0.01917,0.0184,0.077
1.46,-0.01913,-0.01895,0.0198,0.0689
1.47,-0.01901,-0.01884,0.0166,0.0729
1.48,-0.01895,-0.0188,0.0195,0.0612
1.49,-0.01889,-0.01867,0.0157,0.0715
1.5,-0.01883,-0.01842,0.0151,0.0534
1.51,-0.01877,-0.01835,0.0177,0.0515
1.52,-0.01871,-0.01836,0.0172,0.0541
1.53,-0.01867,-0.01805,0.0114,0.0705
1.54,-0.01864,-0.01805,0.0113,0.0548
1.55,-0.01866,-0.01796,0.0141,0.0443
1.56,-0.01867,-0.01783,0.0092,0.0614
1.57,-0.01868,-0.01787,0.0085,0.046
1.58,-0.01869,-0.01784,0.007,0.003
1.59,-0.0208,-0.01773,-0.0029,-0.103
1.6,-0.02429,-0.01787,-0.0148,-0.2094
1.61,-0.02437,-0.01802,-0.0328,-0.1098
1.62,-0.02446,-0.01843,-0.0383,-0.0617
1.63,-0.02454,-0.01884,-0.0402,-0.0638
1.64,-0.02462,-0.01899,-0.0415,-0.0624
1.65,-0.02471,-0.01929,-0.0409,-0.0799
1.66,-0.02479,-0.01963,-0.0424,-0.0668
1.67,-0.02492,-0.01999,-0.041,-0.0732
1.68,-0.02509,-0.02035,-0.0426,-0.0646
1.69,-0.02528,-0.02072,-0.0411,-0.0679
1.7,-0.02547,-0.02113,-0.0461,-0.0515
1.71,-0.02565,-0.02154,-0.0452,-0.0587
1.72,-0.02584,-0.02187,-0.047,-0.0427
1.73,-0.02603,-0.02241,-0.0483,-0.0617
1.74,-0.02625,-0.02294,-0.0465,-0.0309
1.75,-0.02649,-0.02326,-0.0444,-0.0534
1.76,-0.02672,-0.02388,-0.045,-0.062
1.77,-0.02696,-0.02417,-0.0455,-0.0706
1.78,-0.0272,-0.02461,-0.0395,-0.0507
1.79,-0.02744,-0.02511,-0.0409,-0.0512
1.8,-0.02768,-0.02546,-0.0385,-0.0637
1.81,-0.02793,-0.02592,-0.0387,-0.0537
1.82,-0.02819,-0.02635,-0.0323,-0.0531
1.83,-0.02845,-0.02671,-0.0279,-0.0677
1.84,-0.02871,-0.02703,-0.0291,-0.059
1.85,-0.02896,-0.02738,-0.0261,-0.0561
1.86,-0.02922,-0.02768,-0.0241,-0.0715
1.87,-0.02948,-0.02786,-0.0209,-0.0686
1.88,-0.02975,-0.0282,-0.0223,-0.071
1.89,-0.03001,-0.02852,-0.0184,-0.0838
1.9,-0.03028,-0.02863,-0.0198,-0.1059
1.91,-0.03054,-0.02886,-0.0196,-0.1079
1.92,-0.03081,-0.02915,-0.016,-0.0916
1.93,-0.03107,-0.02937,-0.0192,-0.124
1.94,-0.03134,-0.02965,-0.0193,-0.1067
1.95,-0.03161,-0.02977,-0.0169,-0.0927
1.96,-0.03188,-0.02998,-0.0188,-0.1134
1.97,-0.03215,-0.03017,-0.0191,-0.1213
1.98,-0.03241,-0.03038,-0.0201,-0.1043
1.99,-0.03268,-0.0308,-0.0197,-0.1027
2,-0.03295,-0.03092,-0.0182,-0.1116
2.01,-0.03322,-0.03167,-0.0171,-0.1198
2.02,-0.03349,-0.0318,-0.017,-0.1287
2.03,-0.03376,-0.03204,-0.0144,-0.1262
2.04,-0.03402,-0.03225,-0.0186,-0.1017
2.05,-0.03429,-0.03242,-0.0139,-0.1248
2.06,-0.03456,-0.03264,-0.0189,-0.1338
2.07,-0.03483,-0.03283,-0.0174,-0.1322
2.08,-0.03509,-0.03319,-0.0189,-0.1496
2.09,-0.03536,-0.03345,-0.0228,-0.1138
2.1,-0.03563,-0.0337,-0.025,-0.1249
2.11,-0.03589,-0.03404,-0.0256,-0.1382
2.12,-0.03616,-0.03433,-0.0266,-0.1279
2.13,-0.03643,-0.03465,-0.03,-0.0988
2.14,-0.03669,-0.03514,-0.0322,-0.1157
2.15,-0.03695,-0.03551,-0.032,-0.1106
2.16,-0.03721,-0.0359,-0.0354,-0.1126
2.17,-0.03748,-0.03636,-0.037,-0.086
2.18,-0.03774,-0.03689,-0.0408,-0.1238
2.19,-0.038,-0.03736,-0.0443,-0.0942
2.2,-0.03826,-0.03782,-0.0421,-0.083
2.21,-0.03852,-0.03842,-0.0446,-0.0872
2.22,-0.03878,-0.03863,-0.0473,-0.0946
2.23,-0.03904,-0.03899,-0.0484,-0.0764
2.24,-0.03929,-0.03944,-0.054,-0.0871
2.25,-0.03955,-0.03978,-0.0525,-0.0649
2.26,-0.03981,-0.04025,-0.054,-0.069
2.27,-0.04006,-0.04056,-0.0516,-0.0645
2.28,-0.04031,-0.04091,-0.0525,-0.0461
2.29,-0.04057,-0.04127,-0.0511,-0.042
2.3,-0.04082,-0.04175,-0.051,-0.0282
2.31,-0.04107,-0.04215,-0.0525,-0.0377
2.32,-0.04132,-0.04258,-0.0466,-0.0434
2.33,-0.04157,-0.04283,-0.0455,-0.047
2.34,-0.04182,-0.04318,-0.0429,-0.0284
2.35,-0.04206,-0.04349,-0.0404,-0.0382
2.36,-0.04231,-0.04378,-0.0395,-0.0331
2.37,-0.04255,-0.04428,-0.0341,-0.0221
2.38,-0.04279,-0.04446,-0.0319,-0.0171
2.39,-0.04304,-0.04472,-0.0273,-0.0305
2.4,-0.04328,-0.04496,-0.0214,-0.0397
2.41,-0.04352,-0.04516,-0.0213,-0.0211
2.42,-0.04375,-0.04539,-0.0202,-0.0407
2.43,-0.04398,-0.04551,-0.0157,-0.0483
2.44,-0.04422,-0.04562,-0.0141,-0.0364
2.45,-0.04445,-0.04572,-0.0084,-0.0408
2.46,-0.04469,-0.04577,-0.0063,-0.0526
2.47,-0.04492,-0.0458,-0.0078,-0.0575
2.48,-0.04514,-0.0459,-0.006,-0.0624
2.49,-0.04537,-0.04587,-0.0037,-0.0652
2.5,-0.04559,-0.04592,-0.002,-0.0632
2.51,-0.04582,-0.04601,-0.0017,-0.0714
2.52,-0.04604,-0.04601,-0.0016,-0.0724
2.53,-0.04627,-0.04598,-0.0018,-0.0916
2.54,-0.04649,-0.04602,-0.0025,-0.0772
2.55,-0.0467,-0.04603,-0.0022,-0.0818
2.56,-0.04692,-0.04605,-0.0041,-0.1005
2.57,-0.04714,-0.0461,-0.0061,-0.1021
2.58,-0.04735,-0.04619,-0.0089,-0.0882
2.59,-0.04757,-0.04642,-0.008,-0.1005
2.6,-0.04778,-0.04655,-0.0115,-0.0904
2.61,-0.04799,-0.04663,-0.0149,-0.0939
2.62,-0.0482,-0.04683,-0.0197,-0.1025
2.63,-0.04841,-0.04696,-0.0221,-0.1159
2.64,-0.04862,-0.04727,-0.0206,-0.1045
2.65,-0.04882,-0.04748,-0.0252,-0.1067
2.66,-0.04903,-0.04778,-0.0244,-0.0923
2.67,-0.04923,-0.04792,-0.0254,-0.0894
2.68,-0.04943,-0.0482,-0.0194,-0.1182
2.69,-0.04963,-0.04847,-0.0258,-0.0985
2.7,-0.04983,-0.0487,-0.0247,-0.0803
2.71,-0.05002,-0.04905,-0.0218,-0.0891
2.72,-0.05022,-0.0494,-0.0261,-0.1066
2.73,-0.05042,-0.0495,-0.025,-0.0751
2.74,-0.05061,-0.04988,-0.0249,-0.1067
2.75,-0.05079,-0.05016,-0.0212,-0.0979
2.76,-0.05098,-0.05051,-0.023,-0.0725
2.77,-0.05117,-0.05059,-0.028,-0.1052
2.78,-0.05135,-0.05095,-0.0202,-0.0964
2.79,-0.05154,-0.05118,-0.0188,-0.0864
2.8,-0.05173,-0.05136,-0.0182,-0.0867
2.81,-0.0519,-0.05143,-0.0177,-0.0841
2.82,-0.05208,-0.05179,-0.0167,-0.0922
2.83,-0.05225,-0.05207,-0.0163,-0.0938
2.84,-0.05243,-0.05222,-0.0137,-0.0873
2.85,-0.0526,-0.05245,-0.0157,-0.0804
2.86,-0.05278,-0.05269,-0.0146,-0.0983
2.87,-0.05295,-0.05277,-0.013,-0.1004
2.88,-0.05311,-0.05284,-0.013,-0.0903
2.89,-0.05327,-0.05287,-0.01,-0.1011
2.9,-0.05344,-0.05322,-0.0083,-0.1043
2.91,-0.0536,-0.05323,-0.0075,-0.1107
2.92,-0.05376,-0.05344,-0.0085,-0.1067
2.93,-0.05392,-0.05345,-0.0078,-0.1212
2.94,-0.05407,-0.05351,-0.0066,-0.0937
2.95,-0.05423,-0.05371,-0.0059,-0.1146
2.96,-0.05437,-0.05368,-0.0056,-0.1178
2.97,-0.05452,-0.0537,-0.0045,-0.1129
2.98,-0.05467,-0.05381,-0.0026,-0.1064
2.99,-0.05482,-0.05387,-0.0057,-0.1258
3,-0.05496,-0.05392,-0.0051,-0.1288
3.01,-0.0551,-0.05447,-0.009,-0.1308
3.02,-0.05524,-0.05456,-0.0093,-0.1067
3.03,-0.05537,-0.05463,-0.0124,-0.1279
3.04,-0.0555,-0.05489,-0.0095,-0.1195
3.05,-0.05564,-0.05501,-0.0105,-0.1048
3.06,-0.05577,-0.05509,-0.0125,-0.1171
3.07,-0.0559,-0.05541,-0.0124,-0.1247
3.08,-0.05601,-0.05554,-0.0107,-0.1242
3.09,-0.05613,-0.05569,-0.0134,-0.0938
3.1,-0.05625,-0.05583,-0.013,-0.1135
3.11,-0.05636,-0.05602,-0.0127,-0.1311
3.12,-0.05648,-0.0561,-0.014,-0.1121
3.13,-0.05659,-0.05622,-0.0141,-0.1059
3.14,-0.05669,-0.05647,-0.0141,-0.0998
3.15,-0.05677,-0.05666,-0.0146,-0.1004
3.16,-0.05684,-0.05679,-0.0157,-0.0975
3.17,-0.05692,-0.05706,-0.0152,-0.1075
3.18,-0.057,-0.05712,-0.0106,-0.0335
3.19,-0.05499,-0.05728,-0.0075,0.0378
3.2,-0.05158,-0.05727,0.0046,0.1637
3.21,-0.05161,-0.05728,0.0092,0.115
3.22,-0.05164,-0.05717,0.009,0.0471
3.23,-0.05167,-0.05691,0.0086,0.0474
3.24,-0.0517,-0.05697,0.0039,0.0455
3.25,-0.05173,-0.05692,0.0042,0.0489
3.26,-0.05175,-0.05685,0.0008,0.0545
3.27,-0.05173,-0.05686,0.0017,0.0626
3.28,-0.05167,-0.05686,-0.0004,0.0723
3.29,-0.05159,-0.05679,0.0002,0.0834
3.3,-0.05151,-0.0569,0.0004,0.0857
3.31,-0.05143,-0.0569,0.0004,0.1068
3.32,-0.05135,-0.05672,0.003,0.1068
3.33,-0.05126,-0.0568,0.0074,0.1128
3.34,-0.05111,-0.05659,0.0087,0.0916
3.35,-0.05093,-0.05658,0.0117,0.1234
3.36,-0.05074,-0.05633,0.0149,0.1287
3.37,-0.05055,-0.05624,0.0181,0.142
3.38,-0.05035,-0.056,0.0221,0.1252
3.39,-0.05016,-0.05587,0.0236,0.1338
3.4,-0.04994,-0.05569,0.0322,0.1266
3.41,-0.04971,-0.05549,0.034,0.1164
3.42,-0.04945,-0.05502,0.0387,0.1207
3.43,-0.04918,-0.05435,0.041,0.1499
3.44,-0.04892,-0.05375,0.0468,0.1636
3.45,-0.04866,-0.0529,0.0536,0.1205
3.46,-0.0484,-0.05245,0.0589,0.1003
3.47,-0.04813,-0.05175,0.0617,0.0881
3.48,-0.04784,-0.05108,0.0616,0.0925
3.49,-0.04755,-0.05038,0.063,0.1141
3.5,-0.04726,-0.04919,0.0643,0.0659
3.51,-0.04697,-0.04877,0.0634,0.0548
3.52,-0.04668,-0.04822,0.0612,0.0493
3.53,-0.04639,-0.04734,0.0602,0.044
3.54,-0.0461,-0.04634,0.0581,0.0556
3.55,-0.04581,-0.04554,0.0545,0.0285
3.56,-0.04552,-0.04509,0.0517,0.0542
3.57,-0.04522,-0.04452,0.0489,0.0238
3.58,-0.04493,-0.04417,0.0449,0.0418
3.59,-0.04464,-0.0438,0.0396,0.0199
3.6,-0.04434,-0.04349,0.0365,0.018
3.61,-0.04405,-0.04316,0.0306,0.0458
3.62,-0.04376,-0.04289,0.0267,0.0378
3.63,-0.04347,-0.04269,0.0254,0.042
3.64,-0.04318,-0.04251,0.0203,0.0418
3.65,-0.04289,-0.04246,0.0189,0.0459
3.66,-0.0426,-0.0423,0.0183,0.0473
3.67,-0.04231,-0.04223,0.0164,0.061
3.68,-0.04203,-0.04202,0.0144,0.0545
3.69,-0.04174,-0.04201,0.0132,0.0663
3.7,-0.04146,-0.04183,0.0137,0.0711
3.71,-0.04117,-0.04175,0.0163,0.0978
3.72,-0.04089,-0.04165,0.0166,0.0948
3.73,-0.0406,-0.0415,0.0192,0.08
3.74,-0.04032,-0.04134,0.02,0.0878
3.75,-0.04004,-0.04123,0.0203,0.0975
3.76,-0.03977,-0.04111,0.0234,0.0924
3.77,-0.03949,-0.04077,0.0262,0.085
3.78,-0.03921,-0.04071,0.0246,0.1028
3.79,-0.03893,-0.04038,0.0263,0.0926
3.8,-0.03865,-0.04032,0.0298,0.0724
3.81,-0.03838,-0.04,0.0306,0.0988
3.82,-0.0381,-0.03977,0.0329,0.0781
3.83,-0.03783,-0.0395,0.0371,0.0778
3.84,-0.03756,-0.03923,0.0361,0.086
3.85,-0.03729,-0.03896,0.0384,0.1215
3.86,-0.03701,-0.03856,0.0437,0.0769
3.87,-0.03674,-0.03824,0.0468,0.0666
3.88,-0.03647,-0.03768,0.0505,0.0904
3.89,-0.03621,-0.03736,0.0507,0.0645
3.9,-0.03594,-0.0368,0.0525,0.085
3.91,-0.03567,-0.03622,0.0511,0.0584
3.92,-0.03541,-0.03571,0.0512,0.0722
3.93,-0.03514,-0.03505,0.0514,0.0399
3.94,-0.03488,-0.0345,0.0466,0.0616
3.95,-0.03462,-0.03398,0.0444,0.0374
3.96,-0.03436,-0.03361,0.0396,0.0463
3.97,-0.0341,-0.03321,0.0397,0.0394
3.98,-0.03384,-0.03287,0.0353,0.0338
3.99,-0.03358,-0.03236,0.0328,0.0364
4,-0.03331,-0.03209,0.0282,0.0229
4.01,-0.03306,-0.03105,0.0163,0.0366
4.02,-0.03281,-0.03082,0.0156,0.0253
4.03,-0.03256,-0.03072,0.0117,0.0191
4.04,-0.03231,-0.03058,0.0096,0.0454
4.05,-0.03205,-0.03048,0.0064,0.0472
4.06,-0.0318,-0.03052,0.0035,0.0563
4.07,-0.03155,-0.03039,-0.0005,0.0539
4.08,-0.03131,-0.03036,0.0025,0.0448
4.09,-0.03106,-0.03039,-0.0004,0.0654
4.1,-0.03082,-0.03034,0.0007,0.0671
4.11,-0.03057,-0.03027,0.0007,0.0531
4.12,-0.03033,-0.03035,0.0038,0.0695
4.13,-0.03008,-0.03039,0.0001,0.0748
4.14,-0.02984,-0.03039,0.0073,0.0834
4.15,-0.0296,-0.03033,0.0025,0.0825
4.16,-0.02936,-0.0302,0.0073,0.0725
4.17,-0.02912,-0.03011,0.0088,0.0926
4.18,-0.02888,-0.02993,0.0095,0.09
4.19,-0.02864,-0.02976,0.0135,0.0876
4.2,-0.02841,-0.02953,0.0139,0.0992
4.21,-0.02817,-0.02926,0.0192,0.0939
4.22,-0.02794,-0.02897,0.0208,0.0772
4.23,-0.02771,-0.02861,0.0212,0.0752
4.24,-0.02748,-0.02834,0.0246,0.0993
4.25,-0.02725,-0.02794,0.027,0.0759
4.26,-0.02701,-0.02733,0.0284,0.082
4.27,-0.02678,-0.02715,0.0291,0.0762
4.28,-0.02656,-0.02683,0.0246,0.0643
4.29,-0.02633,-0.02643,0.0265,0.0741
4.3,-0.02611,-0.02626,0.0268,0.0727
4.31,-0.02588,-0.02583,0.0254,0.0548
4.32,-0.02566,-0.02548,0.0266,0.0925
4.33,-0.02544,-0.02525,0.0226,0.0547
4.34,-0.02522,-0.02498,0.0271,0.0646
4.35,-0.025,-0.02472,0.0261,0.0626
4.36,-0.02478,-0.02443,0.0209,0.0708
4.37,-0.02456,-0.02412,0.0197,0.0633
4.38,-0.02435,-0.02406,0.0178,0.079
4.39,-0.02413,-0.02389,0.0182,0.0784
4.4,-0.02391,-0.02363,0.0156,0.0703
4.41,-0.0237,-0.02344,0.0149,0.069
4.42,-0.02349,-0.02324,0.0139,0.0738
4.43,-0.02328,-0.02312,0.0135,0.0715
4.44,-0.02308,-0.02295,0.0146,0.0695
4.45,-0.02287,-0.02291,0.0153,0.0698
4.46,-0.02266,-0.02271,0.0154,0.0841
4.47,-0.02245,-0.02259,0.0134,0.0843
4.48,-0.02225,-0.0224,0.0126,0.0798
4.49,-0.02205,-0.02244,0.0137,0.0685
4.5,-0.02185,-0.02225,0.0134,0.062
4.51,-0.02165,-0.02205,0.0152,0.0813
4.52,-0.02145,-0.02192,0.0149,0.0677
4.53,-0.02126,-0.02177,0.013,0.1009
4.54,-0.02107,-0.02166,0.0143,0.0909
4.55,-0.02088,-0.02151,0.0165,0.1001
4.56,-0.0207,-0.02132,0.0171,0.1119
4.57,-0.02051,-0.02123,0.0152,0.1089
4.58,-0.02033,-0.02096,0.0176,0.071
4.59,-0.02015,-0.02092,0.0182,0.0992
4.6,-0.01998,-0.02063,0.019,0.1004
4.61,-0.01982,-0.02046,0.0166,0.0919
4.62,-0.01968,-0.02035,0.0176,0.0893
4.63,-0.01954,-0.02017,0.0208,0.0892
4.64,-0.0194,-0.02011,0.0179,0.0891
4.65,-0.01926,-0.01988,0.0191,0.0778
4.66,-0.01913,-0.01971,0.0199,0.0714
4.67,-0.01901,-0.01957,0.0189,0.078
4.68,-0.01895,-0.01949,0.0159,0.0639
4.69,-0.01889,-0.01933,0.0169,0.0743
4.7,-0.01883,-0.01918,0.016,0.0872
4.71,-0.01877,-0.01911,0.0153,0.072
4.72,-0.01871,-0.01896,0.0155,0.0811
4.73,-0.01867,-0.01895,0.0122,0.0804
4.74,-0.01864,-0.01871,0.0134,0.0799
4.75,-0.01866,-0.01874,0.0121,0.0654
4.76,-0.01867,-0.01863,0.0128,0.0625
4.77,-0.01868,-0.01847,0.0149,0.0585
4.78,-0.01869,-0.01831,0.0111,0.0118
4.79,-0.0208,-0.01831,0.0034,-0.0878
4.8,-0.02429,-0.01836,-0.0113,-0.1996
4.81,-0.02437,-0.01872,-0.0236,-0.1258
4.82,-0.02446,-0.01883,-0.0299,-0.0543
4.83,-0.02454,-0.01899,-0.0301,-0.0558
4.84,-0.02462,-0.01929,-0.0317,-0.0335
4.85,-0.02471,-0.01958,-0.0348,-0.0704
4.86,-0.02479,-0.01979,-0.0345,-0.0598
4.87,-0.02492,-0.02009,-0.0348,-0.0433
4.88,-0.02509,-0.02042,-0.0341,-0.0639
4.89,-0.02528,-0.0208,-0.0377,-0.0515
4.9,-0.02547,-0.02104,-0.0368,-0.0542
4.91,-0.02565,-0.02144,-0.04,-0.0796
4.92,-0.02584,-0.02187,-0.0413,-0.047
4.93,-0.02603,-0.02213,-0.0416,-0.0577
4.94,-0.02625,-0.02268,-0.0411,-0.0516
4.95,-0.02649,-0.02305,-0.0438,-0.0618
4.96,-0.02672,-0.02343,-0.0429,-0.0536
4.97,-0.02696,-0.02394,-0.041,-0.053
4.98,-0.0272,-0.0243,-0.0385,-0.05
4.99,-0.02744,-0.02467,-0.0379,-0.0635
5,-0.02768,-0.02506,-0.0376,-0.0608
5.01,-0.02793,-0.02642,-0.0326,-0.0477
5.02,-0.02819,-0.02689,-0.0278,-0.0549
5.03,-0.02845,-0.02716,-0.0243,-0.0514
5.04,-0.02871,-0.02742,-0.0237,-0.0572
5.05,-0.02896,-0.02775,-0.0203,-0.062
5.06,-0.02922,-0.02795,-0.0197,-0.0615
5.07,-0.02948,-0.02825,-0.0167,-0.0711
5.08,-0.02975,-0.02854,-0.0175,-0.0742
5.09,-0.03001,-0.02864,-0.0156,-0.0751
5.1,-0.03028,-0.02875,-0.0148,-0.076
5.11,-0.03054,-0.02889,-0.0145,-0.0836
5.12,-0.03081,-0.02919,-0.0164,-0.09
5.13,-0.03107,-0.0294,-0.0093,-0.0931
5.14,-0.03134,-0.02961,-0.0186,-0.0879
5.15,-0.03161,-0.02986,-0.0167,-0.0952
5.16,-0.03188,-0.03,-0.0175,-0.0905
5.17,-0.03215,-0.03016,-0.0181,-0.1013
5.18,-0.03241,-0.03051,-0.0213,-0.1047
5.19,-0.03268,-0.03074,-0.019,-0.0981
5.2,-0.03295,-0.03093,-0.0218,-0.0873
5.21,-0.03322,-0.03108,-0.016,-0.1106
5.22,-0.03349,-0.03134,-0.0185,-0.1097
5.23,-0.03376,-0.03153,-0.0193,-0.1217
